Generated by http://statistics.gov.scot,2024-09-09T17:52:02+00:00,,
http://statistics.gov.scot/id/statistical-geography/S01007391,Helensburgh North - 05,0.22,0.22
http://statistics.gov.scot/id/statistical-geography/S01007392,Helensburgh North - 06,0.99,1.23
http://statistics.gov.scot/id/statistical-geography/S01007393,Helensburgh North - 07,9.38,9.75
http://statistics.gov.scot/id/statistical-geography/S01007381,Helensburgh West and Rhu - 01,2.03,2.08
http://statistics.gov.scot/id/statistical-geography/S01007382,Helensburgh West and Rhu - 02,2.53,2.59
http://statistics.gov.scot/id/statistical-geography/S01007383,Helensburgh West and Rhu - 03,2.78,2.84
http://statistics.gov.scot/id/statistical-geography/S01007384,Helensburgh West and Rhu - 04,3.75,3.85
http://statistics.gov.scot/id/statistical-geography/S01007385,Helensburgh West and Rhu - 05,6.33,6.48
http://statistics.gov.scot/id/statistical-geography/S01007386,Helensburgh West and Rhu - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01012271,Heriot - Fountainhall - Stow Landward,0,0
http://statistics.gov.scot/id/statistical-geography/S01012752,High Blantyre - 01,16.54,17.96
http://statistics.gov.scot/id/statistical-geography/S01012753,High Blantyre - 02,33.35,33.35
http://statistics.gov.scot/id/statistical-geography/S01012754,High Blantyre - 03,23.29,24.87
http://statistics.gov.scot/id/statistical-geography/S01012755,High Blantyre - 04,21.25,21.25
http://statistics.gov.scot/id/statistical-geography/S01012756,High Blantyre - 05,22.65,22.85
http://statistics.gov.scot/id/statistical-geography/S01012757,High Blantyre - 06,6.67,6.67
http://statistics.gov.scot/id/statistical-geography/S01012758,High Blantyre - 07,14.1,13.54
http://statistics.gov.scot/id/statistical-geography/S01009083,High Bonnybridge and Greenhill - 01,3.7,12.26
http://statistics.gov.scot/id/statistical-geography/S01009084,High Bonnybridge and Greenhill - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01009085,High Bonnybridge and Greenhill - 03,2.84,11.96
http://statistics.gov.scot/id/statistical-geography/S01009086,High Bonnybridge and Greenhill - 04,3.57,13.84
http://statistics.gov.scot/id/statistical-geography/S01009087,High Bonnybridge and Greenhill - 05,5.14,18.53
http://statistics.gov.scot/id/statistical-geography/S01012878,High Crosshill - 01,3.51,4.16
http://statistics.gov.scot/id/statistical-geography/S01012879,High Crosshill - 02,26.03,25.14
http://statistics.gov.scot/id/statistical-geography/S01012880,High Crosshill - 03,8.95,8.7
http://statistics.gov.scot/id/statistical-geography/S01012881,High Crosshill - 04,25.79,21.66
http://statistics.gov.scot/id/statistical-geography/S01009280,High Valleyfield East,11.16,19.57
http://statistics.gov.scot/id/statistical-geography/S01009281,High Valleyfield West,12.56,21.22
http://statistics.gov.scot/id/statistical-geography/S01013117,Highland - 01,0.47,0.68
http://statistics.gov.scot/id/statistical-geography/S01013118,Highland - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01013119,Highland - 03,0.32,0.33
http://statistics.gov.scot/id/statistical-geography/S01013120,Highland - 04,0.39,0.5
http://statistics.gov.scot/id/statistical-geography/S01013121,Highland - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01009411,Hill of Beath,14.13,26.53
http://statistics.gov.scot/id/statistical-geography/S01009409,Hill of Beath and Landward,12.02,15.82
http://statistics.gov.scot/id/statistical-geography/S01009393,Hillend,13.1,23.02
http://statistics.gov.scot/id/statistical-geography/S01008136,Hillhead - 01,26.91,28.24
http://statistics.gov.scot/id/statistical-geography/S01010381,Hillhead - 01,189.75,167.57
http://statistics.gov.scot/id/statistical-geography/S01008137,Hillhead - 02,24.81,25.36
http://statistics.gov.scot/id/statistical-geography/S01010382,Hillhead - 02,105.76,102.98
http://statistics.gov.scot/id/statistical-geography/S01008138,Hillhead - 03,32.13,26.96
http://statistics.gov.scot/id/statistical-geography/S01010383,Hillhead - 03,165.49,147.9
http://statistics.gov.scot/id/statistical-geography/S01008139,Hillhead - 04,26.74,25.34
http://statistics.gov.scot/id/statistical-geography/S01010384,Hillhead - 04,79.94,86.43
http://statistics.gov.scot/id/statistical-geography/S01008140,Hillhead - 05,10.71,10.46
http://statistics.gov.scot/id/statistical-geography/S01010385,Hillhead - 05,101.6,97.17
http://statistics.gov.scot/id/statistical-geography/S01010386,Hillhead - 06,162.72,152.27
http://statistics.gov.scot/id/statistical-geography/S01010387,Hillhead - 07,85.67,80.56
http://statistics.gov.scot/id/statistical-geography/S01012747,Hillhouse - 01,11.79,10.23
http://statistics.gov.scot/id/statistical-geography/S01012748,Hillhouse - 02,14.68,13.89
http://statistics.gov.scot/id/statistical-geography/S01012749,Hillhouse - 03,17.81,14.92
http://statistics.gov.scot/id/statistical-geography/S01012750,Hillhouse - 04,20.41,17.66
http://statistics.gov.scot/id/statistical-geography/S01012751,Hillhouse - 05,21.78,17.92
http://statistics.gov.scot/id/statistical-geography/S01009829,Hillington - 01,15.85,22.27
http://statistics.gov.scot/id/statistical-geography/S01009830,Hillington - 02,17.55,17.27
http://statistics.gov.scot/id/statistical-geography/S01009831,Hillington - 03,23.5,23.41
http://statistics.gov.scot/id/statistical-geography/S01009832,Hillington - 04,40.61,42.59
http://statistics.gov.scot/id/statistical-geography/S01013042,Hillpark - 01,3.52,6.72
http://statistics.gov.scot/id/statistical-geography/S01013043,Hillpark - 02,9.51,19.12
http://statistics.gov.scot/id/statistical-geography/S01013044,Hillpark - 03,19.37,33.01
http://statistics.gov.scot/id/statistical-geography/S01013045,Hillpark - 04,15.09,21.62
http://statistics.gov.scot/id/statistical-geography/S01013046,Hillpark - 05,28.43,35.27
http://statistics.gov.scot/id/statistical-geography/S01007221,Hillside - 01,5.39,3.88
http://statistics.gov.scot/id/statistical-geography/S01007222,Hillside - 02,9.35,5.07
http://statistics.gov.scot/id/statistical-geography/S01007223,Hillside - 03,3.73,2.75
http://statistics.gov.scot/id/statistical-geography/S01007224,Hillside - 04,6.39,3.73
http://statistics.gov.scot/id/statistical-geography/S01007225,Hillside - 05,0.37,0.28
http://statistics.gov.scot/id/statistical-geography/S01008806,Hillside and Calton Hill - 01,106.98,99.71
http://statistics.gov.scot/id/statistical-geography/S01008807,Hillside and Calton Hill - 02,94.85,83.26
http://statistics.gov.scot/id/statistical-geography/S01008808,Hillside and Calton Hill - 03,198.1,175.53
http://statistics.gov.scot/id/statistical-geography/S01008809,Hillside and Calton Hill - 04,171.98,162.87
http://statistics.gov.scot/id/statistical-geography/S01008810,Hillside and Calton Hill - 05,221.25,193.03
http://statistics.gov.scot/id/statistical-geography/S01008811,Hillside and Calton Hill - 06,284.59,263.1
http://statistics.gov.scot/id/statistical-geography/S01008812,Hillside and Calton Hill - 07,337.09,305.2
http://statistics.gov.scot/id/statistical-geography/S01007714,Hilltown - 01,113.03,59.45
http://statistics.gov.scot/id/statistical-geography/S01007715,Hilltown - 02,94.42,47.93
http://statistics.gov.scot/id/statistical-geography/S01007716,Hilltown - 03,99.65,54.02
http://statistics.gov.scot/id/statistical-geography/S01007717,Hilltown - 04,118.17,62.49
http://statistics.gov.scot/id/statistical-geography/S01007718,Hilltown - 05,118.61,52.63
http://statistics.gov.scot/id/statistical-geography/S01007719,Hilltown - 06,81.25,37.43
http://statistics.gov.scot/id/statistical-geography/S01011918,"Hillyland, Tulloch and Inveralmond - 01",22.71,24.3
http://statistics.gov.scot/id/statistical-geography/S01011919,"Hillyland, Tulloch and Inveralmond - 02",22.83,23.42
http://statistics.gov.scot/id/statistical-geography/S01011920,"Hillyland, Tulloch and Inveralmond - 03",32.54,32.12
http://statistics.gov.scot/id/statistical-geography/S01011921,"Hillyland, Tulloch and Inveralmond - 04",33.49,53.57
http://statistics.gov.scot/id/statistical-geography/S01011922,"Hillyland, Tulloch and Inveralmond - 05",41.06,40.96
http://statistics.gov.scot/id/statistical-geography/S01011923,"Hillyland, Tulloch and Inveralmond - 06",21.47,19.9
http://statistics.gov.scot/id/statistical-geography/S01011924,"Hillyland, Tulloch and Inveralmond - 07",40.59,39.51
http://statistics.gov.scot/id/statistical-geography/S01011925,"Hillyland, Tulloch and Inveralmond - 08",11.28,9.81
http://statistics.gov.scot/id/statistical-geography/S01006686,Hilton - 01,41.15,42.28
http://statistics.gov.scot/id/statistical-geography/S01006687,Hilton - 02,41.43,41.96
http://statistics.gov.scot/id/statistical-geography/S01006688,Hilton - 03,62.16,35.24
http://statistics.gov.scot/id/statistical-geography/S01006689,Hilton - 04,34.72,26.5
http://statistics.gov.scot/id/statistical-geography/S01006690,Hilton - 05,70.75,48.32
http://statistics.gov.scot/id/statistical-geography/S01006691,Hilton - 06,114.45,109.53
http://statistics.gov.scot/id/statistical-geography/S01006692,Hilton - 07,73.59,67.89
http://statistics.gov.scot/id/statistical-geography/S01006693,Hilton - 08,55.17,61.14
http://statistics.gov.scot/id/statistical-geography/S01012473,Holmston and Forehill - 01,0.91,0.74
http://statistics.gov.scot/id/statistical-geography/S01012474,Holmston and Forehill - 02,41.85,33.59
http://statistics.gov.scot/id/statistical-geography/S01012475,Holmston and Forehill - 03,17.35,11.99
http://statistics.gov.scot/id/statistical-geography/S01012476,Holmston and Forehill - 04,14.4,11.43
http://statistics.gov.scot/id/statistical-geography/S01012477,Holmston and Forehill - 05,4.02,3.84
http://statistics.gov.scot/id/statistical-geography/S01012478,Holmston and Forehill - 06,12.41,9.45
http://statistics.gov.scot/id/statistical-geography/S01012479,Holmston and Forehill - 07,1.87,1.84
http://statistics.gov.scot/id/statistical-geography/S01011497,Holytown - 01,10.85,8.59
http://statistics.gov.scot/id/statistical-geography/S01011498,Holytown - 02,3.49,2.87
http://statistics.gov.scot/id/statistical-geography/S01011499,Holytown - 03,23.71,21.12
http://statistics.gov.scot/id/statistical-geography/S01011500,Holytown - 04,44.15,45.42
http://statistics.gov.scot/id/statistical-geography/S01011501,Holytown - 05,36.65,32.43
http://statistics.gov.scot/id/statistical-geography/S01011502,Holytown - 06,31.46,27.87
http://statistics.gov.scot/id/statistical-geography/S01011503,Holytown - 07,30.89,26.39
http://statistics.gov.scot/id/statistical-geography/S01011504,Holytown - 08,30.11,30.04
http://statistics.gov.scot/id/statistical-geography/S01012233,Houston North - 01,1.68,0
http://statistics.gov.scot/id/statistical-geography/S01012234,Houston North - 02,2.8,1.62
http://statistics.gov.scot/id/statistical-geography/S01012235,Houston North - 03,9.25,6.79
http://statistics.gov.scot/id/statistical-geography/S01012236,Houston North - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01012229,Houston South - 01,8.33,6.49
http://statistics.gov.scot/id/statistical-geography/S01012230,Houston South - 02,7.58,5.98
http://statistics.gov.scot/id/statistical-geography/S01012231,Houston South - 03,7.4,5.82
http://statistics.gov.scot/id/statistical-geography/S01012232,Houston South - 04,5.39,3.81
http://statistics.gov.scot/id/statistical-geography/S01013309,Howden - 01,9.59,5.15
http://statistics.gov.scot/id/statistical-geography/S01013310,Howden - 02,16.39,31.91
http://statistics.gov.scot/id/statistical-geography/S01013311,Howden - 03,9.5,14.94
http://statistics.gov.scot/id/statistical-geography/S01013312,Howden - 04,8.16,21.02
http://statistics.gov.scot/id/statistical-geography/S01013313,Howden - 05,15.07,35.42
http://statistics.gov.scot/id/statistical-geography/S01013314,Howden - 06,9.97,17.63
http://statistics.gov.scot/id/statistical-geography/S01006880,Howe of Alford - 01,0.84,0.44
http://statistics.gov.scot/id/statistical-geography/S01006881,Howe of Alford - 02,0.39,0.22
http://statistics.gov.scot/id/statistical-geography/S01006882,Howe of Alford - 03,4.09,5.37
http://statistics.gov.scot/id/statistical-geography/S01006883,Howe of Alford - 04,5.09,5.59
http://statistics.gov.scot/id/statistical-geography/S01006884,Howe of Alford - 05,2.73,3.58
http://statistics.gov.scot/id/statistical-geography/S01006885,Howe of Alford - 06,1.36,1.83
http://statistics.gov.scot/id/statistical-geography/S01006886,Howe of Alford - 07,0.4,0.74
http://statistics.gov.scot/id/statistical-geography/S01006887,Howe of Alford - 08,0,0
http://statistics.gov.scot/id/statistical-geography/S01006888,Howe of Alford - 09,0.15,0.16
http://statistics.gov.scot/id/statistical-geography/S01007359,Hunter's Quay - 01,9.84,13.35
http://statistics.gov.scot/id/statistical-geography/S01007360,Hunter's Quay - 02,2.58,4.07
http://statistics.gov.scot/id/statistical-geography/S01007361,Hunter's Quay - 03,11.16,14.17
http://statistics.gov.scot/id/statistical-geography/S01007362,Hunter's Quay - 04,7.03,10.28
http://statistics.gov.scot/id/statistical-geography/S01007363,Hunter's Quay - 05,5.07,5.76
http://statistics.gov.scot/id/statistical-geography/S01007364,Hunter's Quay - 06,6.04,9.25
http://statistics.gov.scot/id/statistical-geography/S01007365,Hunter's Quay - 07,9.04,15.69
http://statistics.gov.scot/id/statistical-geography/S01007008,Huntly - 01,5.5,5.9
http://statistics.gov.scot/id/statistical-geography/S01007009,Huntly - 02,1.21,1.28
http://statistics.gov.scot/id/statistical-geography/S01007010,Huntly - 03,2.33,2.55
http://statistics.gov.scot/id/statistical-geography/S01007011,Huntly - 04,8.32,9.77
http://statistics.gov.scot/id/statistical-geography/S01007012,Huntly - 05,0.49,0.73
http://statistics.gov.scot/id/statistical-geography/S01008559,Hyvots and Gilmerton - 01,47.09,48.82
http://statistics.gov.scot/id/statistical-geography/S01008560,Hyvots and Gilmerton - 02,62.57,67.75
http://statistics.gov.scot/id/statistical-geography/S01008561,Hyvots and Gilmerton - 03,25.92,26.98
http://statistics.gov.scot/id/statistical-geography/S01008562,Hyvots and Gilmerton - 04,24.01,37.17
http://statistics.gov.scot/id/statistical-geography/S01008563,Hyvots and Gilmerton - 05,68.68,71.43
http://statistics.gov.scot/id/statistical-geography/S01009859,Ibrox - 01,54.11,54.88
http://statistics.gov.scot/id/statistical-geography/S01009860,Ibrox - 02,60.93,62.62
http://statistics.gov.scot/id/statistical-geography/S01009861,Ibrox - 03,44.77,45.52
http://statistics.gov.scot/id/statistical-geography/S01009862,Ibrox East and Cessnock - 01,49.99,50.06
http://statistics.gov.scot/id/statistical-geography/S01009863,Ibrox East and Cessnock - 02,85.36,86.13
http://statistics.gov.scot/id/statistical-geography/S01009864,Ibrox East and Cessnock - 03,80.45,81.16
http://statistics.gov.scot/id/statistical-geography/S01009865,Ibrox East and Cessnock - 04,44.01,57.58
http://statistics.gov.scot/id/statistical-geography/S01012265,Innerleithen - East,1.46,2.46
http://statistics.gov.scot/id/statistical-geography/S01012264,Innerleithen - North,1.59,2.75
http://statistics.gov.scot/id/statistical-geography/S01012266,Innerleithen - South,3.27,6.03
http://statistics.gov.scot/id/statistical-geography/S01012267,Innerleithen - West,5.68,9.8
http://statistics.gov.scot/id/statistical-geography/S01006997,"Insch, Oyne and Ythanwells - 01",0.62,0.65
http://statistics.gov.scot/id/statistical-geography/S01006998,"Insch, Oyne and Ythanwells - 02",0.27,0.48
http://statistics.gov.scot/id/statistical-geography/S01006999,"Insch, Oyne and Ythanwells - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01007000,"Insch, Oyne and Ythanwells - 04",0.72,1.37
http://statistics.gov.scot/id/statistical-geography/S01007001,"Insch, Oyne and Ythanwells - 05",2.14,2.5
http://statistics.gov.scot/id/statistical-geography/S01010740,Invergordon - 01,2.01,2.17
http://statistics.gov.scot/id/statistical-geography/S01010741,Invergordon - 02,1.9,1.68
http://statistics.gov.scot/id/statistical-geography/S01010742,Invergordon - 03,1.09,1.03
http://statistics.gov.scot/id/statistical-geography/S01010743,Invergordon - 04,1.11,1.47
http://statistics.gov.scot/id/statistical-geography/S01010744,Invergordon - 05,6.25,3.76
http://statistics.gov.scot/id/statistical-geography/S01010745,Invergordon - 06,6.42,5.75
http://statistics.gov.scot/id/statistical-geography/S01011965,"Invergowrie, Longforgan and Abernyte - 01",3.15,4.21
http://statistics.gov.scot/id/statistical-geography/S01011966,"Invergowrie, Longforgan and Abernyte - 02",4.9,4.81
http://statistics.gov.scot/id/statistical-geography/S01011967,"Invergowrie, Longforgan and Abernyte - 03",1.31,1.34
http://statistics.gov.scot/id/statistical-geography/S01011968,"Invergowrie, Longforgan and Abernyte - 04",6.38,8.07
http://statistics.gov.scot/id/statistical-geography/S01009381,Inverkeithing Belleknowes,14.72,28.87
http://statistics.gov.scot/id/statistical-geography/S01009383,Inverkeithing Jamestown,20.08,48.17
http://statistics.gov.scot/id/statistical-geography/S01009389,Inverkeithing North East,27,55.42
http://statistics.gov.scot/id/statistical-geography/S01009386,Inverkeithing Spencerfield North,24,42.47
http://statistics.gov.scot/id/statistical-geography/S01009387,Inverkeithing Spencerfield South,9.42,14.35
http://statistics.gov.scot/id/statistical-geography/S01009388,Inverkeithing Spittalfield,14.91,25.66
http://statistics.gov.scot/id/statistical-geography/S01009382,Inverkeithing West,24.34,58.8
http://statistics.gov.scot/id/statistical-geography/S01010824,Inverkip and Wemyss Bay - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01010825,Inverkip and Wemyss Bay - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01010826,Inverkip and Wemyss Bay - 03,7.49,7.47
http://statistics.gov.scot/id/statistical-geography/S01010827,Inverkip and Wemyss Bay - 04,3.16,1.1
http://statistics.gov.scot/id/statistical-geography/S01010828,Inverkip and Wemyss Bay - 05,1.1,0.07
http://statistics.gov.scot/id/statistical-geography/S01010829,Inverkip and Wemyss Bay - 06,7.29,4.89
http://statistics.gov.scot/id/statistical-geography/S01010830,Inverkip and Wemyss Bay - 07,5.72,3.19
http://statistics.gov.scot/id/statistical-geography/S01010831,Inverkip and Wemyss Bay - 08,0,0
http://statistics.gov.scot/id/statistical-geography/S01008832,"Inverleith, Goldenacre and Warriston - 01",14.44,14.06
http://statistics.gov.scot/id/statistical-geography/S01008833,"Inverleith, Goldenacre and Warriston - 02",130.22,125.62
http://statistics.gov.scot/id/statistical-geography/S01008834,"Inverleith, Goldenacre and Warriston - 03",88.51,93.74
http://statistics.gov.scot/id/statistical-geography/S01008835,"Inverleith, Goldenacre and Warriston - 04",24.59,26.86
http://statistics.gov.scot/id/statistical-geography/S01010630,Inverness Ballifeary and Dalneigh - 01,8.75,6.52
http://statistics.gov.scot/id/statistical-geography/S01010631,Inverness Ballifeary and Dalneigh - 02,0.81,0.89
http://statistics.gov.scot/id/statistical-geography/S01010632,Inverness Ballifeary and Dalneigh - 03,15.8,15.98
http://statistics.gov.scot/id/statistical-geography/S01010633,Inverness Ballifeary and Dalneigh - 04,7.98,8.59
http://statistics.gov.scot/id/statistical-geography/S01010634,Inverness Ballifeary and Dalneigh - 05,9.67,10.17
http://statistics.gov.scot/id/statistical-geography/S01010635,Inverness Ballifeary and Dalneigh - 06,10.88,11.25
http://statistics.gov.scot/id/statistical-geography/S01010619,"Inverness Central, Raigmore and Longman - 01",8.64,10.16
http://statistics.gov.scot/id/statistical-geography/S01010620,"Inverness Central, Raigmore and Longman - 02",67.5,66.61
http://statistics.gov.scot/id/statistical-geography/S01010621,"Inverness Central, Raigmore and Longman - 03",14.54,14.18
http://statistics.gov.scot/id/statistical-geography/S01010622,"Inverness Central, Raigmore and Longman - 04",11.3,11.01
http://statistics.gov.scot/id/statistical-geography/S01010623,"Inverness Central, Raigmore and Longman - 05",9,10.28
http://statistics.gov.scot/id/statistical-geography/S01010624,"Inverness Central, Raigmore and Longman - 06",19.5,19.31
http://statistics.gov.scot/id/statistical-geography/S01010625,Inverness Crown and Haugh - 01,10.38,9.89
http://statistics.gov.scot/id/statistical-geography/S01010626,Inverness Crown and Haugh - 02,9.96,8.23
http://statistics.gov.scot/id/statistical-geography/S01010627,Inverness Crown and Haugh - 03,10.36,12.14
http://statistics.gov.scot/id/statistical-geography/S01010628,Inverness Crown and Haugh - 04,12.57,22.15
http://statistics.gov.scot/id/statistical-geography/S01010629,Inverness Crown and Haugh - 05,15.68,17.86
http://statistics.gov.scot/id/statistical-geography/S01010571,Inverness Culloden and Balloch - 01,16.64,14.9
http://statistics.gov.scot/id/statistical-geography/S01010572,Inverness Culloden and Balloch - 02,34.73,30.65
http://statistics.gov.scot/id/statistical-geography/S01010573,Inverness Culloden and Balloch - 03,33.07,29.65
http://statistics.gov.scot/id/statistical-geography/S01010574,Inverness Culloden and Balloch - 04,14.84,12.55
http://statistics.gov.scot/id/statistical-geography/S01010575,Inverness Culloden and Balloch - 05,5.11,5.31
http://statistics.gov.scot/id/statistical-geography/S01010576,Inverness Culloden and Balloch - 06,8.71,8.84
http://statistics.gov.scot/id/statistical-geography/S01010616,Inverness Drakies - 01,14.61,17.36
http://statistics.gov.scot/id/statistical-geography/S01010617,Inverness Drakies - 02,5.42,3
http://statistics.gov.scot/id/statistical-geography/S01010618,Inverness Drakies - 03,8.11,4.22
http://statistics.gov.scot/id/statistical-geography/S01010606,Inverness Drummond - 01,28.84,28.86
http://statistics.gov.scot/id/statistical-geography/S01010607,Inverness Drummond - 02,8.44,5.57
http://statistics.gov.scot/id/statistical-geography/S01010608,Inverness Drummond - 03,31.53,35.42
http://statistics.gov.scot/id/statistical-geography/S01010609,Inverness Drummond - 04,18.87,17.79
http://statistics.gov.scot/id/statistical-geography/S01010610,Inverness Drummond - 05,5.39,4.15
http://statistics.gov.scot/id/statistical-geography/S01010566,Inverness East Rural - 01,0.15,0.26
http://statistics.gov.scot/id/statistical-geography/S01010567,Inverness East Rural - 02,1.3,1.46
http://statistics.gov.scot/id/statistical-geography/S01010568,Inverness East Rural - 03,0.52,0.85
http://statistics.gov.scot/id/statistical-geography/S01010569,Inverness East Rural - 04,1.62,1.06
http://statistics.gov.scot/id/statistical-geography/S01010570,Inverness East Rural - 05,2.45,2.61
http://statistics.gov.scot/id/statistical-geography/S01010611,Inverness Hilton - 01,25.47,27.8
http://statistics.gov.scot/id/statistical-geography/S01010612,Inverness Hilton - 02,10.35,7.56
http://statistics.gov.scot/id/statistical-geography/S01010613,Inverness Hilton - 03,15.68,16.61
http://statistics.gov.scot/id/statistical-geography/S01010614,Inverness Hilton - 04,30.99,33
http://statistics.gov.scot/id/statistical-geography/S01010615,Inverness Hilton - 05,7.47,6.8
http://statistics.gov.scot/id/statistical-geography/S01010590,Inverness Inshes - 01,0.26,0.31
http://statistics.gov.scot/id/statistical-geography/S01010591,Inverness Inshes - 02,2.99,3.51
http://statistics.gov.scot/id/statistical-geography/S01010592,Inverness Inshes - 03,4.22,2
http://statistics.gov.scot/id/statistical-geography/S01010593,Inverness Inshes - 04,4.55,1.55
http://statistics.gov.scot/id/statistical-geography/S01010594,Inverness Inshes - 05,4.56,2.46
http://statistics.gov.scot/id/statistical-geography/S01010595,Inverness Inshes - 06,0,0.08
http://statistics.gov.scot/id/statistical-geography/S01010650,Inverness Kinmylies and South West - 01,6.54,6.1
http://statistics.gov.scot/id/statistical-geography/S01010651,Inverness Kinmylies and South West - 02,12.65,14.42
http://statistics.gov.scot/id/statistical-geography/S01010652,Inverness Kinmylies and South West - 03,23.51,14.43
http://statistics.gov.scot/id/statistical-geography/S01010653,Inverness Kinmylies and South West - 04,27.01,17.9
http://statistics.gov.scot/id/statistical-geography/S01010654,Inverness Kinmylies and South West - 05,22.43,19.76
http://statistics.gov.scot/id/statistical-geography/S01010599,Inverness Lochardil and Holm Mains - 01,4.81,2.72
http://statistics.gov.scot/id/statistical-geography/S01010600,Inverness Lochardil and Holm Mains - 02,6.85,6.17
http://statistics.gov.scot/id/statistical-geography/S01010601,Inverness Lochardil and Holm Mains - 03,6.39,6.16
http://statistics.gov.scot/id/statistical-geography/S01010602,Inverness Lochardil and Holm Mains - 04,3.77,3.14
http://statistics.gov.scot/id/statistical-geography/S01010603,Inverness Lochardil and Holm Mains - 05,6.84,6.67
http://statistics.gov.scot/id/statistical-geography/S01010604,Inverness Lochardil and Holm Mains - 06,3.05,2.63
http://statistics.gov.scot/id/statistical-geography/S01010605,Inverness Lochardil and Holm Mains - 07,9.82,8.08
http://statistics.gov.scot/id/statistical-geography/S01010641,Inverness Merkinch - 01,15.72,17.84
http://statistics.gov.scot/id/statistical-geography/S01010642,Inverness Merkinch - 02,22.92,17.58
http://statistics.gov.scot/id/statistical-geography/S01010643,Inverness Merkinch - 03,4.45,4.26
http://statistics.gov.scot/id/statistical-geography/S01010644,Inverness Merkinch - 04,9.48,10.28
http://statistics.gov.scot/id/statistical-geography/S01010636,Inverness Muirtown - 01,9.29,10.4
http://statistics.gov.scot/id/statistical-geography/S01010637,Inverness Muirtown - 02,4.29,5.09
http://statistics.gov.scot/id/statistical-geography/S01010638,Inverness Muirtown - 03,7.18,8.33
http://statistics.gov.scot/id/statistical-geography/S01010639,Inverness Muirtown - 04,8.36,8.34
http://statistics.gov.scot/id/statistical-geography/S01010640,Inverness Muirtown - 05,27.86,25.15
http://statistics.gov.scot/id/statistical-geography/S01010645,Inverness Scorguie - 01,4.7,3.07
http://statistics.gov.scot/id/statistical-geography/S01010646,Inverness Scorguie - 02,9.52,6.81
http://statistics.gov.scot/id/statistical-geography/S01010647,Inverness Scorguie - 03,15.59,11.27
http://statistics.gov.scot/id/statistical-geography/S01010648,Inverness Scorguie - 04,8.96,10.72
http://statistics.gov.scot/id/statistical-geography/S01010649,Inverness Scorguie - 05,9.9,9.5
http://statistics.gov.scot/id/statistical-geography/S01010596,Inverness Slackbuie - 01,0,1.23
http://statistics.gov.scot/id/statistical-geography/S01010597,Inverness Slackbuie - 02,5.68,7.81
http://statistics.gov.scot/id/statistical-geography/S01010598,Inverness Slackbuie - 03,1.99,2.36
http://statistics.gov.scot/id/statistical-geography/S01010577,Inverness Smithton - 01,22.32,19.64
http://statistics.gov.scot/id/statistical-geography/S01010578,Inverness Smithton - 02,19.76,18.47
http://statistics.gov.scot/id/statistical-geography/S01010579,Inverness Smithton - 03,10.01,13.33
http://statistics.gov.scot/id/statistical-geography/S01010580,Inverness Smithton - 04,20.88,15.91
http://statistics.gov.scot/id/statistical-geography/S01010581,Inverness Smithton - 05,10.33,5.83
http://statistics.gov.scot/id/statistical-geography/S01010655,Inverness West Rural - 01,0.12,0.19
http://statistics.gov.scot/id/statistical-geography/S01010656,Inverness West Rural - 02,0.92,0.76
http://statistics.gov.scot/id/statistical-geography/S01010657,Inverness West Rural - 03,0.02,0.03
http://statistics.gov.scot/id/statistical-geography/S01010658,Inverness West Rural - 04,1.4,1.87
http://statistics.gov.scot/id/statistical-geography/S01010659,Inverness West Rural - 05,1.89,2.42
http://statistics.gov.scot/id/statistical-geography/S01010660,Inverness West Rural - 06,2.33,2.37
http://statistics.gov.scot/id/statistical-geography/S01010661,Inverness West Rural - 07,2.08,2.18
http://statistics.gov.scot/id/statistical-geography/S01010662,Inverness West Rural - 08,1.54,1.78
http://statistics.gov.scot/id/statistical-geography/S01010663,Inverness West Rural - 09,0.38,0.49
http://statistics.gov.scot/id/statistical-geography/S01010582,Inverness Westhill - 01,2.05,0.78
http://statistics.gov.scot/id/statistical-geography/S01010583,Inverness Westhill - 02,10.41,7.57
http://statistics.gov.scot/id/statistical-geography/S01010584,Inverness Westhill - 03,4.48,4.2
http://statistics.gov.scot/id/statistical-geography/S01010585,Inverness Westhill - 04,7.4,5.46
http://statistics.gov.scot/id/statistical-geography/S01010586,Inverness Westhill - 05,5.5,3.73
http://statistics.gov.scot/id/statistical-geography/S01010587,Inverness Westhill - 06,8.09,5.35
http://statistics.gov.scot/id/statistical-geography/S01010588,Inverness Westhill - 07,14.13,7.9
http://statistics.gov.scot/id/statistical-geography/S01010589,Inverness Westhill - 08,5.65,4.13
http://statistics.gov.scot/id/statistical-geography/S01006894,Inverurie North - 01,12.1,14.2
http://statistics.gov.scot/id/statistical-geography/S01006895,Inverurie North - 02,14.76,14.67
http://statistics.gov.scot/id/statistical-geography/S01006896,Inverurie North - 03,12.2,14.35
http://statistics.gov.scot/id/statistical-geography/S01006897,Inverurie North - 04,10.12,10.69
http://statistics.gov.scot/id/statistical-geography/S01006898,Inverurie North - 05,4.77,5.21
